FIPS,MSAID,MSANAME,ST,ALLCOMPLEV,EDCOMPLEV,HECOMPLEV,NBCOMPLEV,ALLCOMP,EDCOMP,HECOMP,NBCOMP,ED1Z,ED2Z,ED3Z,ED4Z,ED5Z,ED6Z,ED7Z,ED8Z,HE3Z,HE4Z,HE5Z,HE6Z,HE7Z,HE8Z,NB1Z,NB2Z,NB3Z,NB4Z,NB5Z,OL1,OL2,OL3,OL4,OL5,OL6,OL7
26163560200,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,Very High,0.771956,1.397393,0.309973,0.608502,1.33179,1.62991,1.47368,1.3369,1.28729,1.32582,2.89422,-0.10047,1.93336,-0.26409,0.1808,-0.58262,0.51184,0.08055,0.67237,0.83048,0.93313,0.70472,-0.09819,932,53,654,52,6,106,61
26163560300,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,Very High,0.868992,1.882045,0.247353,0.477578,0.91766,1.61974,1.47368,1.3369,1.28729,1.32582,6.0642,1.03107,-0.07466,0.19851,0.18475,0.54076,0.42768,0.20708,0.81059,0.91385,0.42303,0.42178,-0.18136,718,10,544,50,0,83,31
26163560400,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,Very High,0.752326,1.382575,0.267808,0.606596,1.48168,0.68145,0.97865,1.22084,1.28729,0.73104,2.89422,1.78543,0.83807,-0.24543,0.17805,0.1285,0.57966,0.128,0.59761,0.9959,0.96155,0.60303,-0.12511,1177,43,980,29,0,83,42
26163561300,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Very High,Very High,0.725641,1.1634,0.47966,0.533862,2.03669,1.61564,1.56074,1.43008,0.9601,1.32582,-0.27576,0.65389,2.66355,-0.40906,0.17996,0.00837,0.90814,-0.473,0.76311,0.87804,0.90969,0.80782,-0.68935,2321,77,1824,50,2,289,79
26163561600,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Very High,Very High,0.592444,0.663251,0.448732,0.665348,0.82747,0.68145,0.97865,1.22084,0.86561,0.73104,-0.27576,0.27671,0.83807,-0.5127,0.16692,0.37777,0.52396,1.29837,0.70741,0.8296,0.84524,0.93397,0.01052,711,42,635,7,0,14,13
26163562300,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Moderate,High,0.409003,0.77521,0.014363,0.437436,1.73156,1.47788,1.01245,1.35439,-0.48377,0.73104,-0.27576,0.65389,-0.9874,-0.63815,0.18201,0.61769,0.72077,0.19126,0.47466,0.8649,0.89737,0.44568,-0.49543,373,18,329,4,2,7,13
26163562400,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,Very High,0.852446,1.655183,0.312372,0.589784,1.61368,1.32017,1.14459,1.3335,1.28729,0.73104,2.89422,2.91697,0.22958,-0.14936,0.18243,0.12432,1.09039,0.39687,0.28053,0.99546,1.22633,0.76787,-0.32127,1298,31,1163,35,7,29,33
26163562500,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,Very High,Moderate,High,0.33675,0.680399,-0.043368,0.37322,1.07501,0.90377,0.97865,1.22084,1.28729,0.73104,-0.27576,-0.47765,-0.9874,-0.7086,0.18084,0.7876,0.22864,0.23871,0.44056,0.59768,0.72971,0.18134,-0.08319,294,9,247,9,1,23,5
26163562600,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Low,Very High,0.426585,0.940403,-0.139337,0.47869,1.33005,1.22491,0.91665,1.2774,0.91068,0.73104,-0.27576,1.40825,-0.9874,-0.91529,0.18284,0.04526,0.67894,0.15963,0.08413,0.90733,0.90163,0.78094,-0.28058,896,18,811,13,2,17,35
26163562700,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Moderate,Very High,0.532119,0.98771,0.098088,0.510558,1.11928,1.07965,1.01245,1.35439,0.71802,0.73104,-0.27576,2.16261,-0.53103,-0.61346,0.18288,0.62184,0.45235,0.47595,0.40362,0.81081,0.86182,0.62154,-0.145,772,28,695,6,0,10,33
26163562800,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,Very High,0.503326,0.624229,0.225102,0.660648,0.97238,1.02571,0.79817,1.05599,1.16395,0.73104,-0.27576,-0.47765,0.22958,-0.70209,0.17315,0.55762,0.56895,0.5234,0.45264,1.02241,1.10168,0.6045,0.12201,730,35,663,13,0,9,10
26163562900,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,High,High,High,0.410214,0.578521,0.22241,0.42971,0.48774,1.10373,0.71406,0.6687,0.16759,0.73104,-0.27576,1.03107,0.83807,-1.17418,0.18025,-0.09464,0.77688,0.80808,0.48985,0.57228,0.64528,0.40768,0.03346,581,23,486,25,6,13,28
26163563200,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Moderate,High,Low,High,0.158047,0.368871,-0.251148,0.356418,0.70454,0.89434,0.71406,0.6687,0.74605,0.73104,-0.27576,-1.232,-0.9874,-0.80198,0.18373,0.38678,-0.05226,-0.23576,0.63881,0.51516,0.60282,-0.1576,0.1829,880,45,404,294,2,86,49
26163563300,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,High,High,High,0.374957,0.516221,0.295283,0.313366,0.72677,0.92362,0.84281,0.80973,1.22638,0.73104,-0.27576,-0.85482,0.83807,-1.02868,0.18353,-0.25432,0.56076,1.47234,0.90218,0.37796,0.65678,-0.35253,-0.01756,578,31,373,83,0,63,28
26163563400,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,High,0.755271,1.506149,0.309302,0.450364,1.18642,1.20607,1.10234,1.03319,0.97894,0.73104,2.89422,2.91697,0.47298,-0.52551,0.18399,-0.46655,0.95579,1.23511,0.36481,0.69251,0.81187,0.6358,-0.25317,1342,57,1046,132,2,46,59
26163563500,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,High,0.707037,1.471989,0.232963,0.416158,1.3591,1.29788,1.15765,1.69667,0.09956,0.73104,2.89422,2.53979,0.83807,0.10268,0.18468,-1.32814,1.14036,0.46013,0.05174,0.9775,0.72184,0.81664,-0.48693,1834,80,1433,62,2,185,72
26163563600,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Very High,High,0.575518,0.910834,0.355287,0.460434,1.15448,1.31929,1.04971,1.67337,0.22629,0.73104,-0.27576,1.40825,0.83807,-0.10206,0.18465,-0.25373,0.95721,0.50758,-0.02933,0.83936,1.03281,0.93397,-0.47464,563,29,411,31,4,64,24
26163563700,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Very High,High,0.605499,0.735209,0.653515,0.427772,1.00437,1.22891,1.07293,1.31054,1.28729,0.73104,-0.27576,-0.47765,2.66355,-0.38048,0.18449,0.46518,0.62311,0.36524,0.16407,0.73473,1.06043,0.58986,-0.41023,421,16,263,72,0,47,23
26163563800,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,Very High,High,High,0.395216,0.73459,0.142347,0.30871,0.46877,1.22596,1.13478,1.45816,1.23424,0.73104,-0.27576,-0.10047,-0.9874,-0.52881,0.18439,0.74902,0.72369,0.71319,0.15576,0.95366,0.36622,0.37704,-0.30913,721,42,514,78,0,32,55
26163563900,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Moderate,High,Low,High,0.162533,0.284187,-0.163783,0.367196,0.68257,1.02883,0.98579,1.01865,-0.66562,0.73104,-0.27576,-1.232,-0.9874,-0.80988,0.18424,0.11304,0.51583,0.00147,0.03444,0.94143,0.48154,0.58284,-0.20427,629,15,434,47,1,118,14
26163564000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,High,Moderate,Very High,0.266382,0.193912,0.065572,0.539662,0.15273,0.99827,0.69553,0.85867,0,0.73104,-0.27576,-1.60918,0.83807,-0.63626,0.18093,0.02259,-0.23479,0.22289,1.11786,0.54421,0.76927,0.39656,-0.12959,302,17,122,104,2,43,14
26163564100,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,High,Very High,Very High,0.461978,0.437939,0.480493,0.467502,1.01675,0.99827,0.69553,0.85867,-0.42052,0.73104,-0.27576,-0.10047,2.66355,-0.31462,0.18409,0.04476,0.60421,-0.29903,0.63861,0.75257,0.64936,0.7124,-0.41543,1006,39,529,184,2,196,56
26163564200,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Very High,Moderate,0.460733,0.78783,0.418355,0.176014,0.84711,1.22891,1.07293,1.31054,0.73398,0.73104,-0.27576,0.65389,0.83807,-0.09316,0.18479,0.40835,0.74358,0.4285,0.05089,0.24871,0.76027,0.36491,-0.54471,975,44,645,108,0,95,83
26163564300,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Very High,Moderate,0.693224,1.476894,0.396692,0.206088,0.46704,1.26301,1.21416,1.79578,1.28729,0.73104,2.89422,2.16261,0.47298,0.09774,0.18481,0.56284,0.75981,0.30197,0.04629,0.73117,0.47965,0.39087,-0.61754,589,34,357,63,2,113,20
26163564502,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,Very High,0.606582,0.978881,0.137575,0.70329,1.58433,1.39212,1.39773,1.62202,1.10286,0.73104,-0.27576,0.27671,-0.9874,0.00192,0.18481,0.9048,0.95708,-0.23576,1.20651,0.94067,1.29929,0.93397,-0.86399,1015,28,558,105,0,279,45
26163564503,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Moderate,Low,Low,Very High,-0.009275,-0.320225,-0.231335,0.523736,0.17123,-0.02012,0.05122,-0.09459,-1.1897,-0.34926,-0.27576,-0.85482,0.22958,-0.78497,0.18481,0.42531,-0.40037,-1.04237,1.19526,1.0546,0.43929,0.93397,-1.00444,923,59,435,224,0,156,49
26163564600,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,High,0.637787,1.266852,0.311925,0.334582,1.09984,1.15213,0.76281,1.04159,1.04494,0.73104,2.89422,1.40825,-0.07466,0.18541,0.18481,0.27728,1.02837,0.27034,-0.03486,1.04206,0.59272,0.77213,-0.69914,1907,81,1245,122,1,385,73
26163564700,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,High,0.445883,0.708794,0.290447,0.338408,1.1299,1.0665,0.72856,0.61746,0.64158,0.73104,-0.27576,1.03107,0.83807,-0.10051,0.1835,0.40136,0.86163,-0.44137,0.1455,0.68701,0.75762,0.67907,-0.57716,1568,56,720,362,6,341,83
